t,ax,ay,az
0,-4.393800000000001,-4.882000000000001,-4.393800000000001
0.01,-3.4174,-3.9056,-4.882000000000001
0.02,-3.9056,-4.393800000000001,-4.882000000000001
0.03,-3.9056,-3.4174,-4.882000000000001
0.04,-3.9056,-4.393800000000001,-4.393800000000001
0.05,-4.393800000000001,-3.9056,-4.882000000000001
0.06,-0.4882,-5.8584000000000005,-2.4410000000000003
0.07,13.6696,-14.1578,7.8112
0.08,27.8274,-22.4572,16.5988
0.09,40.0324,-30.2684,26.3628
0.1,62.4896,-42.961600000000004,40.5206
0.11,64.9306,-43.938,41.0088
0.12,66.3952,-44.9144,41.9852
0.13,67.3716,-46.379000000000005,44.4262
0.14,69.3244,-47.3554,43.938
0.15,69.8126,-47.3554,45.4026
0.16,67.8598,-46.379000000000005,43.4498
0.17,63.466,-42.961600000000004,41.9852
0.18,62.001400000000004,-41.497,39.544200000000004
0.19,59.0722,-41.0088,37.5914
0.2,55.1666,-39.056000000000004,36.1268
0.21,55.1666,-38.5678,36.615
0.22,55.6548,-39.056000000000004,36.615
0.23,56.6312,-39.544200000000004,36.1268
0.24,57.119400000000006,-40.0324,36.1268
0.25,56.6312,-39.056000000000004,37.1032
0.26,57.119400000000006,-39.544200000000004,36.1268
0.27,57.119400000000006,-40.0324,37.5914
0.28,58.095800000000004,-40.0324,37.1032
0.29,57.607600000000005,-40.0324,36.615
0.3,58.095800000000004,-40.0324,38.0796
0.31,59.5604,-41.0088,38.0796
0.32,58.584,-39.056000000000004,37.1032
0.33,58.095800000000004,-41.0088,37.1032
0.34,58.584,-41.0088,38.5678
0.35000000000000003,59.0722,-40.5206,37.5914
0.36,58.584,-41.0088,38.0796
0.37,58.095800000000004,-41.497,38.5678
0.38,59.0722,-41.0088,39.056000000000004
0.39,59.0722,-41.0088,38.5678
0.4,59.5604,-41.497,39.056000000000004
0.41000000000000003,60.5368,-41.9852,39.544200000000004
0.42,60.5368,-41.9852,39.544200000000004
0.43,60.5368,-41.9852,39.544200000000004
0.44,61.025000000000006,-41.9852,39.544200000000004
0.45,60.5368,-41.0088,39.544200000000004
0.46,61.025000000000006,-41.497,39.544200000000004
0.47000000000000003,61.025000000000006,-42.961600000000004,39.544200000000004
0.48,61.025000000000006,-41.9852,40.5206
0.49,62.001400000000004,-42.473400000000005,39.544200000000004
0.5,62.001400000000004,-42.961600000000004,40.5206
0.51,61.513200000000005,-41.9852,40.5206
0.52,62.9778,-42.473400000000005,40.5206
0.53,62.001400000000004,-41.9852,40.5206
0.54,62.001400000000004,-42.961600000000004,39.544200000000004
0.55,62.9778,-42.473400000000005,40.0324
0.56,62.4896,-43.4498,41.497
0.5700000000000001,62.001400000000004,-42.473400000000005,40.5206
0.58,62.4896,-42.473400000000005,40.0324
0.59,62.001400000000004,-43.938,41.0088
0.6,62.9778,-43.938,41.497
0.61,62.9778,-43.938,41.0088
0.62,62.9778,-43.938,41.9852
0.63,62.9778,-44.4262,41.497
0.64,62.4896,-43.4498,42.473400000000005
0.65,62.9778,-43.4498,41.0088
0.66,63.466,-43.938,41.0088
0.67,62.4896,-43.4498,41.0088
0.68,62.001400000000004,-43.4498,41.0088
0.6900000000000001,62.9778,-42.961600000000004,41.9852
0.7000000000000001,63.9542,-43.4498,41.9852
0.71,63.9542,-44.4262,41.497
0.72,62.9778,-43.4498,42.473400000000005
0.73,63.9542,-43.938,41.9852
0.74,64.4424,-43.938,42.473400000000005
0.75,63.9542,-44.4262,41.9852
0.76,63.466,-43.938,41.9852
0.77,64.4424,-43.4498,41.9852
0.78,64.9306,-43.4498,42.961600000000004
0.79,64.4424,-44.4262,42.473400000000005
0.8,64.9306,-43.4498,41.9852
0.81,64.9306,-43.4498,42.961600000000004
0.8200000000000001,64.4424,-44.9144,42.961600000000004
0.8300000000000001,63.9542,-44.4262,42.473400000000005
0.84,64.9306,-43.938,42.473400000000005
0.85,65.907,-45.4026,41.9852
0.86,65.4188,-43.4498,42.473400000000005
0.87,65.4188,-44.9144,43.938
0.88,65.4188,-43.938,42.473400000000005
0.89,64.9306,-43.4498,43.4498
0.9,65.907,-44.4262,42.961600000000004
0.91,66.3952,-44.4262,42.473400000000005
0.92,65.4188,-43.938,43.4498
0.93,66.3952,-44.4262,43.4498
0.9400000000000001,65.4188,-44.9144,43.938
0.9500000000000001,66.3952,-43.938,42.473400000000005
0.96,65.907,-44.4262,43.4498
0.97,65.907,-44.4262,42.961600000000004
0.98,66.88340000000001,-44.4262,43.938
0.99,66.3952,-43.938,44.4262
1.0,66.88340000000001,-44.4262,43.938
1.01,66.88340000000001,-44.9144,43.4498
1.02,67.3716,-44.4262,43.938
1.03,66.88340000000001,-44.4262,43.4498
1.04,66.3952,-44.4262,43.4498
1.05,67.8598,-44.4262,43.938
1.06,66.88340000000001,-44.4262,43.938
1.07,67.8598,-44.4262,43.4498
1.08,67.3716,-44.4262,42.961600000000004
1.09,67.3716,-43.4498,43.938
1.1,66.88340000000001,-43.938,42.961600000000004
1.11,67.3716,-43.938,43.4498
1.12,67.8598,-44.9144,43.4498
1.1300000000000001,67.8598,-44.4262,42.961600000000004
1.1400000000000001,67.8598,-43.4498,42.473400000000005
1.1500000000000001,66.88340000000001,-43.938,42.961600000000004
1.16,68.348,-45.4026,43.4498
1.17,67.8598,-45.4026,41.9852
1.18,67.8598,-43.938,42.961600000000004
1.19,66.88340000000001,-44.4262,42.961600000000004
1.2,67.8598,-44.4262,41.9852
1.21,67.3716,-44.4262,42.473400000000005
1.22,66.88340000000001,-43.938,42.473400000000005
1.23,67.8598,-44.4262,42.473400000000005
1.24,66.3952,-44.4262,42.473400000000005
1.25,67.8598,-45.4026,42.473400000000005
1.26,67.8598,-44.4262,41.9852
1.27,67.3716,-44.9144,42.473400000000005
1.28,66.88340000000001,-45.4026,41.9852
1.29,67.8598,-44.4262,42.961600000000004
1.3,67.3716,-44.9144,42.473400000000005
1.31,67.3716,-44.9144,41.497
1.32,67.3716,-45.4026,42.473400000000005
1.33,66.3952,-45.8908,41.0088
1.34,67.3716,-43.938,42.961600000000004
1.35,66.88340000000001,-45.4026,42.473400000000005
1.36,67.8598,-44.9144,41.497
1.37,66.88340000000001,-44.4262,42.473400000000005
1.3800000000000001,67.3716,-44.9144,41.497
1.3900000000000001,67.3716,-45.8908,41.9852
1.4000000000000001,67.8598,-45.4026,42.961600000000004
1.41,66.88340000000001,-45.4026,41.497
1.42,66.88340000000001,-45.8908,41.9852
1.43,67.8598,-45.8908,41.0088
1.44,66.88340000000001,-44.9144,41.9852
1.45,67.8598,-45.4026,42.961600000000004
1.46,66.3952,-45.8908,41.9852
1.47,67.3716,-44.9144,41.9852
1.48,66.88340000000001,-44.4262,41.9852
1.49,66.88340000000001,-45.4026,41.9852
1.5,67.3716,-44.9144,41.9852
1.51,66.88340000000001,-46.379000000000005,41.9852
1.52,66.88340000000001,-45.4026,42.961600000000004
1.53,66.88340000000001,-45.4026,41.9852
1.54,66.88340000000001,-44.4262,42.473400000000005
1.55,66.3952,-44.9144,41.9852
1.56,66.88340000000001,-44.9144,41.9852
1.57,65.907,-44.9144,41.0088
1.58,65.907,-45.4026,41.0088
1.59,66.3952,-45.8908,41.9852
1.6,66.3952,-44.9144,41.497
1.61,66.88340000000001,-44.9144,41.9852
1.62,65.4188,-45.8908,41.0088
1.6300000000000001,64.9306,-45.8908,41.497
1.6400000000000001,65.907,-45.4026,41.0088
1.6500000000000001,65.4188,-45.4026,41.0088
1.6600000000000001,65.907,-45.8908,41.0088
1.67,65.4188,-45.8908,41.9852
1.68,65.4188,-45.8908,41.497
1.69,64.9306,-46.379000000000005,41.9852
1.7,64.4424,-45.4026,41.497
1.71,64.9306,-45.8908,41.497
1.72,64.4424,-45.4026,41.497
1.73,64.4424,-45.8908,41.497
1.74,64.4424,-44.4262,41.497
1.75,63.9542,-45.4026,41.497
1.76,62.9778,-44.9144,41.497
1.77,63.466,-43.4498,41.497
1.78,63.9542,-44.9144,41.9852
1.79,63.9542,-44.4262,42.473400000000005
1.8,63.466,-44.9144,42.473400000000005
1.81,63.466,-44.4262,41.9852
1.82,64.9306,-44.4262,41.497
1.83,64.4424,-44.4262,41.9852
1.84,63.9542,-44.9144,42.473400000000005
1.85,63.466,-43.4498,41.9852
1.86,64.4424,-43.938,41.9852
1.87,62.9778,-44.9144,41.9852
1.8800000000000001,63.466,-43.938,41.9852
1.8900000000000001,63.466,-43.938,41.497
1.9000000000000001,64.9306,-43.4498,41.0088
1.9100000000000001,63.466,-43.4498,41.0088
1.92,62.9778,-43.4498,41.9852
1.93,63.9542,-42.473400000000005,41.9852
1.94,63.466,-42.473400000000005,41.9852
1.95,63.466,-42.961600000000004,41.497
1.96,63.466,-41.9852,41.9852
1.97,62.4896,-42.961600000000004,41.0088
1.98,64.4424,-41.9852,41.497
1.99,63.9542,-42.473400000000005,41.0088
2.0,63.466,-41.9852,40.0324
2.0100000000000002,64.4424,-42.473400000000005,40.5206
2.02,63.466,-41.9852,40.0324
2.0300000000000002,63.466,-41.9852,39.544200000000004
2.04,62.9778,-41.9852,40.0324
2.05,62.9778,-41.9852,39.056000000000004
2.06,62.9778,-41.9852,40.0324
2.07,63.466,-42.473400000000005,39.056000000000004
2.08,62.9778,-41.9852,38.0796
2.09,62.4896,-42.473400000000005,38.5678
2.1,62.001400000000004,-42.473400000000005,39.056000000000004
2.11,62.001400000000004,-42.961600000000004,39.056000000000004
2.12,60.5368,-42.961600000000004,39.544200000000004
2.13,62.001400000000004,-42.961600000000004,38.0796
2.14,62.001400000000004,-42.961600000000004,39.056000000000004
2.15,61.513200000000005,-41.9852,38.5678
2.16,61.513200000000005,-42.473400000000005,39.056000000000004
2.17,62.001400000000004,-42.961600000000004,38.5678
2.18,61.513200000000005,-41.497,38.5678
2.19,61.025000000000006,-41.497,38.5678
2.2,60.0486,-41.497,38.5678
2.21,60.5368,-41.9852,39.056000000000004
2.22,61.025000000000006,-41.9852,39.056000000000004
2.23,59.0722,-42.961600000000004,38.5678
2.24,60.5368,-42.473400000000005,38.5678
2.25,60.0486,-41.9852,38.5678
2.2600000000000002,60.0486,-41.9852,37.5914
2.27,60.0486,-41.497,37.1032
2.2800000000000002,59.0722,-41.9852,39.544200000000004
