t,pressure
0,80721.76
0.02,80548.8
0.04,81216.64
0.06,80551.2
0.08,80112.8
0.1,79747.2
0.12,80001.12
0.14,81742.88
0.16,80274.24
0.18,81756.8
0.2,81744.0
0.22,81129.12
0.24,81925.92
0.26,82017.12
0.28,81005.12
0.3,81567.68000000001
0.32,80710.72
0.34,81364.16
0.36,81322.08
0.38,80304.64
0.4,81477.28
0.42,79908.48
0.44,80206.72
0.46,80228.64
0.48,80742.40000000001
0.5,81058.24
0.52,80154.88
0.54,80962.88
0.56,79889.44
0.58,79768.48
0.6,79260.32
0.62,81029.6
0.64,80564.16
0.66,81014.72
0.68,81248.16
0.7000000000000001,80645.76
0.72,80285.6
0.74,80706.24
0.76,80958.24
0.78,79974.72
0.8,81187.04000000001
0.8200000000000001,81719.04000000001
0.84,80764.32
0.86,79438.24
0.88,81155.36
0.9,80290.88
0.92,81247.04000000001
0.9400000000000001,79894.72
0.96,81159.36
0.98,79458.08
1.0,81458.72
1.02,80281.92
1.04,80232.96
1.06,80379.68000000001
1.08,80138.72
1.1,80289.44
1.12,80998.72
1.1400000000000001,80569.28
1.16,80050.08
1.18,80199.68000000001
1.2,79624.0
1.22,80490.24
1.24,80196.96
1.26,80078.24
1.28,80157.76
1.3,79965.6
1.32,79745.44
1.34,80343.36
1.36,79070.72
1.3800000000000001,80104.48
1.4000000000000001,80138.24
1.42,80557.28
1.44,79140.96
1.46,80375.36
1.48,80727.84
1.5,79482.40000000001
1.52,80400.48
1.54,79209.76
1.56,80201.44
1.58,80529.12
1.6,79845.6
1.62,79221.28
1.6400000000000001,79448.16
1.6600000000000001,80445.76
1.68,79360.8
1.7,78981.76
1.72,80075.04000000001
1.74,80534.88
1.76,79643.52
1.78,80568.8
1.8,79460.16
1.82,78861.6
1.84,78544.64
1.86,80009.12
1.8800000000000001,80013.12
1.9000000000000001,79301.92
1.92,79315.36
1.94,78850.72
1.96,78983.04000000001
1.98,78619.84
2.0,78513.12
2.02,78973.12
2.04,78678.40000000001
2.06,78938.24
2.08,78506.40000000001
2.1,78824.16
2.12,78778.40000000001
2.14,78175.36
2.16,78306.40000000001
2.18,78377.44
2.2,77880.64
2.22,78460.64
2.24,78716.48
2.2600000000000002,78854.08
2.2800000000000002,77301.28
2.3000000000000003,78165.6
2.32,77391.84
2.34,79170.24
2.36,78294.88
2.38,77623.04000000001
2.4,78138.40000000001
2.42,78339.04000000001
2.44,78604.48
2.46,78826.88
2.48,78131.68000000001
2.5,78233.6
2.52,78168.8
2.54,78042.56
2.56,78487.68000000001
2.58,78180.16
2.6,77704.64
2.62,78278.88
2.64,77797.44
2.66,77545.6
2.68,77657.44
2.7,78884.64
2.72,77174.24
2.74,78082.24
2.7600000000000002,77379.52
2.7800000000000002,78836.48
2.8000000000000003,77529.76
2.82,78350.72
2.84,76945.12
2.86,77057.44
2.88,77784.32
2.9,76112.0
2.92,77424.96
2.94,77374.24
2.96,76207.36
2.98,76570.08
3.0,76881.44
3.02,76793.92
3.04,77457.12
3.06,76714.56
3.08,77014.40000000001
3.1,77360.96
3.12,77490.56
3.14,76347.84
3.16,77223.84
3.18,77320.32
3.2,77246.88
3.22,76542.88
3.24,75979.84
3.2600000000000002,75933.6
3.2800000000000002,76137.6
3.3000000000000003,75973.92
3.3200000000000003,76043.36
3.34,75463.2
3.36,76762.56
3.38,76140.8
3.4,76150.88
3.42,75353.92
3.44,75791.84
3.46,75541.6
3.48,75984.0
3.5,75386.72
3.52,75334.08
3.54,75887.52
3.56,75766.72
3.58,75332.96
3.6,74279.84
3.62,75805.12
3.64,74133.6
3.66,74435.84
3.68,75231.84
3.7,75169.12
3.72,75055.04000000001
3.74,75033.28
3.7600000000000002,74793.44
3.7800000000000002,75505.44
3.8000000000000003,74679.04000000001
3.8200000000000003,74402.56
3.84,74732.96
3.86,75511.2
3.88,74541.6
3.9,74812.16
3.92,74728.96
3.94,74829.28
3.96,75066.40000000001
3.98,75213.12
4.0,74769.76
4.0200000000000005,75032.64
4.04,74395.84
4.0600000000000005,74258.40000000001
4.08,74004.96
4.1,74721.76
4.12,73482.24
4.14,74512.0
4.16,74886.56
4.18,73966.88
4.2,74024.16
4.22,73879.36
4.24,74244.0
4.26,73509.76
4.28,73702.40000000001
4.3,74108.32
4.32,74153.44
4.34,73943.84
4.36,74010.56
4.38,73640.48
